Test Acc:,,,,,,,,,,,,,,,,
30,53.29,48.88,40.89,43.77,38.61,44.35,40.96,48.23,40.99,47.09,36.98,36.13,27.58,38.6,37.09,48.24
31,53.29,49.21,41,44.12,38.48,44.63,40.51,48.43,40.77,47.56,37.26,36.53,27.63,38.71,37.61,48.3
32,53.3,49.54,41.26,43.62,38.37,44.86,40.82,48.64,41.1,47.04,37.45,36.65,27.93,38.72,37.81,48.13
33,53.8,49.65,41.55,44.25,39.02,45.15,41.18,48.92,41.46,47.75,38,37.15,27.74,39.27,38.04,48.63
34,53.72,49.63,41.17,44.56,38.96,45.25,41.35,48.88,41.1,47.97,37.98,37.27,28.11,39.58,37.97,48.62
35,53.72,49.89,41.59,44.71,38.9,45.31,41.38,49.16,41.64,48.36,38.36,37.25,28.11,39.48,38.32,48.89
36,53.9,50.09,42.05,44.78,39.17,45.03,41.47,49.47,41.37,47.91,38.3,37.39,27.64,39.52,38.04,48.91
37,54.03,50.05,41.97,45.16,39.35,45.27,41.65,49.46,41.97,48.6,38.41,37.5,28.1,39.67,38.62,49.25
38,54.29,50.29,42.11,44.87,39.78,45.68,41.64,49.52,41.74,48.63,38.49,37.68,28.61,39.62,38.59,49.2
39,54.25,50.39,42.09,44.74,39.64,45.72,41.74,49.68,41.69,48.31,38.52,37.86,28.51,40.17,38.73,49.52
40,54.47,50.63,42.18,45.07,39.63,45.78,42.14,49.79,41.98,48.67,38.86,37.85,28.36,39.82,38.94,49.19
41,54.27,50.86,42.13,45.1,39.94,45.92,42.09,50.04,42.09,48.8,38.99,37.86,28.4,40.34,38.78,49.28
42,54.74,50.67,42.24,45.5,40.01,46.18,42.4,50.08,42.14,48.45,38.69,38.19,28.42,39.98,39.17,49.24
43,54.82,51.1,42.58,45.55,40.29,46.03,42.23,50.13,42.36,48.85,39.17,38.15,28.83,40.48,39.09,49.82
44,54.59,50.67,42.76,45.53,40.48,46.63,42.19,50.35,42.15,48.78,38.6,38.22,28.69,40.46,39.42,49.42
45,54.57,51.01,42.62,45.19,40.18,46.27,42.32,50.36,42.58,49.26,38.98,37.89,29.12,40,39.18,49.85
46,54.91,51.16,42.49,45.77,40.47,46.53,42.72,50.33,42.29,48.9,39.3,38.3,28.88,40.57,39.24,49.46
47,55.06,51.34,42.93,45.83,40.49,46.57,42.64,50.38,42.61,49.49,39.58,38.18,28.75,40.78,39.06,49.7
48,55.27,51.14,42.93,45.67,40.45,46.15,42.52,50.13,42.41,49.27,39.45,38.38,29.22,40.88,39.26,49.98
